trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.2, 'e': 0.5696012024771592}",30,10,19.216163947943755,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.5639051904523875}",25,0,-99.15689205632262,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.5582661385478637}",20,0,-58.56986194161705,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.5526834771623851}",30,0,-17.726979286991522,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.5471566423907612}",20,0,-19.343712575591255,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.5416850759668536}",25,0,-6.751309299055182,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.536268225207185}",30,10,-164.9794595772522,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
64,False,"{'a': 0.2, 'e': 0.5309055429551132}",20,0,-4.384330620106588,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.525596487525562}",25,0,-28.38324006182907,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.2, 'e': 0.5203405226503064}",35,0,-2.6997638703196776,"{0: 30, 1: 4, 2: 0, 3: 1, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.5151371174238033}",30,8,-49.96046931621467,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.2, 'e': 0.5099857462495653}",25,13,21.62028071147321,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.5048858887870696}",20,0,-45.42815913734527,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.2, 'e': 0.4998370298991989}",20,0,-90.59592756936307,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.49483865960020695}",20,0,-12.83628667216455,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.4898902730042049}",25,0,1.0659388384584623,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.48499137027416284}",20,0,-60.547578253896916,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.4801414565714212}",30,9,-19.55725112643768,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.47534004200570695}",20,0,-21.603603400441642,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.4705866415856499}",20,0,-13.79063458371749,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.46588077516979337}",20,0,-45.114823340992984,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.2, 'e': 0.46122196741809546}",20,0,7.433627806087192,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.4566097477439145}",20,0,-20.51342500084362,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.45204365026647536}",20,8,8.524283195580088,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.4475232137638106}",20,6,-40.06759663496336,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.2, 'e': 0.4430479816261725}",25,14,-5.05908725194613,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.43861750180991077}",30,0,-53.03451071524363,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.2, 'e': 0.43423132679181164}",25,0,-85.12669198166414,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.2, 'e': 0.4298890135238935}",20,0,-27.455020784353756,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.2, 'e': 0.4255901233886546}",20,7,8.086920669238644,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.421334222154768}",20,0,-34.026592021082095,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.41712087993322033}",25,3,-2.995138841866928,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.41294967113388814}",25,0,21.03581983455151,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.40882017442254925}",35,0,-4.0541807153332705,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.4047319726783238}",25,10,-16.96566509321571,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.2, 'e': 0.40068465295154054}",30,1,7.891619023675078,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.3966778064220251}",20,0,-24.100558533468863,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.39271102835780486}",25,3,-44.49732967724398,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.2, 'e': 0.3887839180742268}",20,5,-0.3760431425631141,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.38489607889348454}",25,1,-94.2263480482865,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 2}",1
97,False,"{'a': 0.2, 'e': 0.38104711810454966}",35,2,-22.952203184080286,"{0: 25, 1: 5, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.37723664692350417}",20,10,16.918043531886216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.37346428045426916}",25,0,-31.60653460939148,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.2, 'e': 0.36972963764972644}",20,13,13.888530804004716,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.3660323412732292}",30,1,-3.787220929651153,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.3623720178604969}",25,11,12.210468504654282,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.3587482976818919}",20,10,-40.83204786083152,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.355160814705073}",20,0,-53.192779839364235,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.35160920655802225}",20,2,-2.786093654379469,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.348093114492442}",20,16,8.38284261227839,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.3446121833475176}",25,2,-46.53430067304754,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.2, 'e': 0.34116606151404244}",25,2,-40.49760443632535,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.2, 'e': 0.337754400898902}",20,9,6.24368196245545,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.334376856889913}",20,0,-13.514341984033734,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
111,False,"{'a': 0.2, 'e': 0.33103308832101386}",20,0,-38.96186154463157,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.3277227574378037}",20,2,-55.66705780492217,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.2, 'e': 0.3244455298634257}",25,13,15.114754585102752,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.3212010745647914}",25,7,-35.94658942739759,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.3179890638191435}",20,0,0.6707633401159745,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.2, 'e': 0.31480917318095203}",20,5,11.661345353904146,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.3116610814491425}",20,6,-35.38786292086953,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.2, 'e': 0.30854447063465107}",30,0,0.5552301389209096,"{0: 26, 1: 3, 2: 0, 3: 1, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.3054590259283046}",35,20,4.659379589876921,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.30240443566902153}",25,0,-51.475540143726775,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
121,False,"{'a': 0.2, 'e': 0.2993803913123313}",25,0,-36.03851617735103,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
122,False,"{'a': 0.2, 'e': 0.296386587399208}",25,14,20.48370447745487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.2934227215252159}",30,5,35.90470901254034,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.29048849430996376}",25,8,9.125681760483172,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.2875836093668641}",30,16,-21.853710861207077,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.28470777327319546}",20,0,-12.476363260587663,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.2818606955404635}",20,0,30.377095452127023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.2, 'e': 0.27904208858505886}",25,0,-88.7521239286711,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.2, 'e': 0.2762516676992083}",20,10,-2.077324702886954,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.2734891510222162}",20,9,-14.545878680835152,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.27075425951199406}",25,0,14.897459157832792,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.2, 'e': 0.2680467169168741}",25,0,1.9691864347610166,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.2, 'e': 0.26536624974770534}",20,0,-76.87338153187228,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
134,False,"{'a': 0.2, 'e': 0.2627125872502283}",25,0,36.64465362355905,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.26008546137772603}",20,3,-17.051979068251182,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.25748460676394874}",25,10,11.279605566622047,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.2549097606963093}",30,16,6.151508516855156,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.2523606630893462}",25,5,-0.5423884456729078,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.2498370564584527}",30,0,-29.16231321650374,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
140,False,"{'a': 0.2, 'e': 0.24733868589386818}",25,0,-49.05599196954745,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
141,False,"{'a': 0.2, 'e': 0.24486529903492948}",25,14,20.153102949693512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.2424166460445802}",30,22,13.228715033570401,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.2399924795841344}",20,9,7.458788190996163,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.23759255478829303}",20,15,7.637614427117233,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.23521662924041012}",25,0,27.702307764710206,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.232864462948006}",20,0,-25.55737939180236,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
147,False,"{'a': 0.2, 'e': 0.23053581831852593}",25,11,3.0068254699870036,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22823046013534068}",30,8,-4.667125000257524,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.22594815553398728}",25,0,-20.984259037189805,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.2, 'e': 0.2236886739786474}",20,0,12.907938695213154,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.2, 'e': 0.22145178723886091}",20,3,-29.280322073767987,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.2192372693664723}",20,3,28.466478320783956,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.21704489667280757}",20,0,-25.10032233946023,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
154,False,"{'a': 0.2, 'e': 0.2148744477060795}",25,11,-52.47369795830891,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
155,False,"{'a': 0.2, 'e': 0.2127257032290187}",25,15,18.779938224775872,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.21059844619672852}",25,0,-17.61872021394555,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
157,False,"{'a': 0.2, 'e': 0.20849246173476124}",20,14,-28.876400185534422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.2, 'e': 0.2064075371174136}",20,6,13.724084223440524,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.2043434617462395}",25,6,10.717085559239724,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.2023000271287771}",20,11,2.2952455918205272,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.2002770268574893}",25,10,1.0510728486639023,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.19827425658891443}",20,2,-60.74107921777104,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
163,False,"{'a': 0.2, 'e': 0.19629151402302528}",25,13,11.166266304182221,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.19432859888279502}",25,6,-23.822969317974117,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.19238531289396707}",30,18,21.50005357093889,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.1904614597650274}",20,5,-16.366569667249088,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.1885568451673771}",25,0,-23.216357610050416,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
168,False,"{'a': 0.2, 'e': 0.18667127671570335}",30,6,28.035609650411615,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.1848045639485463}",30,13,12.501778229527362,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.18295651830906084}",20,11,-32.831906911004694,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.2, 'e': 0.18112695312597024}",35,17,17.021081890835468,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.17931568359471053}",30,2,-23.252336683606252,"{0: 24, 1: 2, 2: 0, 3: 1, 4: 1}",1
173,False,"{'a': 0.2, 'e': 0.17752252675876343}",25,7,16.58206169846893,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.1757473014911758}",20,6,-30.554320564712754,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.2, 'e': 0.173989828476264}",25,0,-3.9613678518469753,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
176,False,"{'a': 0.2, 'e': 0.1722499301915014}",30,6,27.700700472682044,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.17052743088958636}",25,11,15.504470911777915,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.1688221565806905}",35,22,23.57105405801987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.1671339350148836}",20,8,9.386188803040158,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.16546259566473476}",20,9,-3.0531938687465,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.16380796970808742}",30,19,21.85265386668766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.16216989001100654}",25,17,14.075050920597773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.16054819111089647}",30,15,12.960096603375147,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
